participant_id,prolific_pid,group_id,llm_used_flag
8,583fe092d639d0000142fb2e,8,
9,68d81c3c92ab53a2166931ac,9,
10,5cfb53d4c04a940015aab805,10,
11,6156fef09d1ab07148870099,11,
12,65fb1a12337cd3edfa4dd6fc,12,
13,661ff0336322c3c05a16a8af,1,
14,60c770d5d536d798d92c6ee9,2,
15,5c093a3f600aff0001d7002c,3,
16,5dd671942b033b5ec8bc97b4,4,
17,665b1c771d3f242a05ffd1b3,5,
18,671d5cda4bb11257ce4bcda0,6,
19,678b955998db06a51ad68305,7,
20,665017cd16c82792f5b364ef,8,
21,67ec0db875c63c368cce8118,9,
22,6914c90c80bcbb0ee3307396,10,
23,637f7d52d1a517e820233f7a,11,
24,67896102d98295a520a25ebb,12,
25,6718c55c0df4407cbaf8e00b,1,
26,66a93d22605b24790c435be2,2,
27,601941db6605160008690742,3,
28,605415efff124848ed5fd8e3,4,
29,68d6735a42a45ae88db9691a,5,
30,68c84dcc3bc98e934dd2fffa,6,
31,602d86345f6c24812bfc3a4e,7,
32,692b2dc2fabccc75b20df0a8,8,
33,611a702fa7003f9ed350ebb4,9,
34,605b787e15c5cdab9f698cb4,10,
35,614929e5dc437220dafb260c,11,
36,69289ee670aad30bf97ccddf,12,
37,677297960b61e2b0c736be56,1,
38,5bacc09b709f60000104352f,2,
39,68d56ac9a18490172556aaba,3,
40,609867b0b776ee0e3d256324,4,
41,664b876ebe0680d014a1c471,5,
42,6916bcd9fde520e1f46976cb,6,
43,667b1ca693a1d52a0447f22f,7,
44,656afc419322351c400138f7,8,
45,609ea1092e52cba6578846a2,9,
46,60b7b8126c0c4524e913236e,10,
47,60f5d1dfd8ff71196982160b,11,
48,5d08f2345cb5cf0017ccbb95,12,
49,5eb5fe677dd9764f6a7b0692,1,
50,654fc4ada27c650347fd0446,2,
51,66c4cefb3e98086ecca28a29,3,
52,65df54ece89515308c1cae4b,4,
53,65707f7057bfe1f9f1e9ef2c,5,
54,66604a3a17f83e06a5d82378,6,
55,66049c36acdc2fde734b0983,7,
56,5be30d2451ed78000195c6b6,8,
57,66bf10e19271dfdd1f7723dc,9,
58,5e8244d17412d49657c3e6d8,10,
59,6005e777d1d8768d5808b5fd,11,
60,66854dacc87d341b452931d9,12,
61,68c18047338d71b59d4e843d,1,
62,652a97574fa0e1dd16211b91,2,
63,68e54271b188d748c1a258bb,3,
64,5d14bd7a49a18f0001e1e8b4,4,
65,611842195ebcbb197bc11c0e,5,
66,5cb7852e044ae900011ff74e,6,
67,6525aebf13661dcdfda045f8,7,
68,5dfb75507caa1e89ad5df828,8,
69,5e69475fe2fe7b1ef2d2bb92,9,
70,68c835d056de62062e18aba2,10,
71,5f73375bf67991000855a6d7,11,
72,6127f94d2af664941ae3bf4f,12,
73,611e912ecd86ccea242bb5aa,1,
74,66a2741b8cc4486c4d2032d9,2,
75,65f3ffb89b13487e9bba801f,3,
76,6672d9dfb3878b6f6c5fa763,4,
77,67bae34ff802e124adfe7189,5,
78,605cb6593cc166d022a9d17c,6,
79,6932bac20fb8bc77a2965352,7,
80,67194d1ba278571e0e4b6f87,8,
81,6623c5f5e925484c99ce611a,9,
82,67f16925364c696866c13aa3,10,
83,66be0672a499baee058dc3f6,11,
84,64df6f97391ce879a62edf28,12,
85,6916458f262a97b6c99ce704,1,
86,67d1c2ab7be66a6085721f6c,2,
87,6717a701fec39ffe22799038,3,
88,5f1c2f87a73eec487b58ad9a,4,
89,65f45a87d68ec9b74898401d,5,
90,67e7cdfb2d3c81d83ccef700,6,
91,5f61371454efa10bdcfc588d,7,
92,5eeb70e011363a08142ff479,8,
93,6658e797b169774877e72acb,9,
94,60baef9aa0cb140b69d72f5a,10,
95,65968bbba0c39a6be3f20d8e,11,
96,566ae5587da0350012b50b13,12,
97,6932e95879b6ebb379d7a9db@email.prolific.com,1,
98,647d94be8426dcb4838d8f73,2,
99,609bcf27b68e518541b4a827,3,
100,6869318f8be1d4ab8cabb66f,4,
101,65a7f794e124362a1ae7b3d9,5,
102,60df5be77153bc3056607d3b,6,
103,654e3926a9f47dd3e0bd5471,7,
104,610af0eb860dfb6aeb567a49,8,
105,5ed8e72416627f40d066278f,9,
106,55a1321efdf99b6ec83c214e,10,
107,6521569441baced19add37ca,11,
108,6563514258fc1a6958660b37,12,
109,665f58b57749126beb1be1e6,1,
110,562a52d2c8ffc2000f5139dd,2,
111,692ed5436fca8c59b41c2eea,3,
112,64db89316721f33ed942da45,4,
113,5f0610c3da28a412967e1123,5,
114,658054690a72503441d25c4f,6,
115,66463e4efb99fba5a67a010a,7,
116,6172d63097f568ea03559adb,8,
117,5d0845f9e4b46500019376af,9,
118,5e6f570ab3d22551924c818a,10,
119,65b16b33c01181795aafb797,11,
120,5bec01bfe9b3490001e63ff4,12,
121,5ec84e710b73c13203ba9f3f,1,
122,5f216c1707456f055831aa5d,2,
123,56cb8858edf8da000b6df354,3,
